n_neighbors,weights,p,metric,init_log,accuracy,precision,recall,f1
1,uniform,1,minkowski,False,0.6841236460665264,0.6464173908250979,0.6488137881166426,0.6475138525314388
1,uniform,2,minkowski,False,0.6840784207312937,0.6463673231420772,0.6487629009813743,0.6474633856193521
1,distance,1,minkowski,False,0.6841236460665264,0.6464173908250979,0.6488137881166426,0.6475138525314388
1,distance,2,minkowski,False,0.6840784207312937,0.6463673231420772,0.6487629009813743,0.6474633856193521
2,uniform,1,minkowski,False,0.708884517106483,0.6725864483369746,0.6158146287123272,0.6196191975460084
2,uniform,2,minkowski,False,0.708884517106483,0.6725864483369746,0.6158146287123272,0.6196191975460084
2,distance,1,minkowski,False,0.702982610858603,0.6609480830262903,0.6151571521497521,0.6194611068451343
2,distance,2,minkowski,False,0.702982610858603,0.6609480830262903,0.6151571521497521,0.6194611068451343
3,uniform,1,minkowski,False,0.7177712954797277,0.6823589772973925,0.6821417893646944,0.6822498374890844
3,uniform,2,minkowski,False,0.7177939081473441,0.682382182829437,0.6821587459896477,0.6822698868882422
3,distance,1,minkowski,False,0.7153743527123895,0.6787929112566513,0.6761518374353452,0.6773922946090846
3,distance,2,minkowski,False,0.7152612893743074,0.6787506608964575,0.6763725842470856,0.6774963987824768
4,uniform,1,minkowski,False,0.728331411256586,0.6949274056109777,0.6563843446606902,0.6650572966456991
4,uniform,2,minkowski,False,0.7282409605861203,0.6947952307119284,0.6562995442755152,0.6649620175396318
4,distance,1,minkowski,False,0.7217285123125975,0.6846899190999958,0.6539451452078092,0.6616640972924436
4,distance,2,minkowski,False,0.7216606743097483,0.6845944690699384,0.6538942753329491,0.661605134868757
5,uniform,1,minkowski,False,0.7294620446374058,0.6949108274157105,0.6921644319823377,0.6934623043249375
5,uniform,2,minkowski,False,0.7294394319697894,0.6948865508095604,0.6921474753573844,0.6934420658883409
5,distance,1,minkowski,False,0.7258892431540149,0.6900895164166483,0.6838839030704085,0.6866055818140517
5,distance,2,minkowski,False,0.7254143771340705,0.6896290976227873,0.6839351871950639,0.6864578407140516
6,uniform,1,minkowski,False,0.7362232322547091,0.7034600655534692,0.6732333889422258,0.6818503345914818
6,uniform,2,minkowski,False,0.7362006195870927,0.7034281568025592,0.6732164323172725,0.6818302353497113
6,distance,1,minkowski,False,0.7285349252651335,0.6927088869230185,0.6690636816820619,0.6763748378860921
6,distance,2,minkowski,False,0.7284444745946679,0.6925880206081837,0.6690128290676098,0.6763090384550243
7,uniform,1,minkowski,False,0.7364041335956403,0.7027103220911242,0.6991014521498957,0.700785108990106
7,uniform,2,minkowski,False,0.7363589082604075,0.7026585125866273,0.6990505650146275,0.7007337724728187
7,distance,1,minkowski,False,0.7312032200438686,0.696065185062811,0.6880214749027038,0.6914468909500513
7,distance,2,minkowski,False,0.7309318680324718,0.6957984568110327,0.688208394766578,0.6914682630929949
8,uniform,1,minkowski,False,0.7418990118264251,0.7098684837757621,0.6840074737843398,0.6922334383574117
8,uniform,2,minkowski,False,0.7418990118264251,0.7098684837757621,0.6840074737843398,0.6922334383574117
8,distance,1,minkowski,False,0.7333514234674264,0.6985512795354267,0.6774620784690741,0.6844901528023813
8,distance,2,minkowski,False,0.73332881079981,0.6985145623067877,0.6775299912709283,0.6845364491874693
9,uniform,1,minkowski,False,0.74092666711892,0.7077556130292122,0.7029001503892457,0.7051209107638188
9,uniform,2,minkowski,False,0.7410171177893856,0.7078614630737019,0.7030188985451437,0.7052344362738006
9,distance,1,minkowski,False,0.7353413382176696,0.70081712304685,0.6911415111545318,0.6951630078185784
9,distance,2,minkowski,False,0.7348438595301088,0.7002741576121716,0.6912776819664028,0.6950616787520648
10,uniform,1,minkowski,False,0.7453361373041177,0.7137856352023043,0.6901663705885297,0.6980844948578475
10,uniform,2,minkowski,False,0.7453813626393505,0.7138428426806995,0.6902172577237979,0.6981381115343068
10,distance,1,minkowski,False,0.7364041335956403,0.7021549753467511,0.6834854776173103,0.6900754195437667
10,distance,2,minkowski,False,0.7364945842661059,0.7022585027253346,0.6837060690853773,0.6902708779534317
