n_estimators,max_depth,criterion,min_samples_split,min_samples_leaf,max_features,bootstrap,accuracy,precision,recall,f1
10,10,gini,2,1,,True,0.7656649254912602,0.7375653536443025,0.7198721267496117,0.7267437053456671
10,10,gini,2,1,sqrt,True,0.7660041155055062,0.7437654163343452,0.7049687964960875,0.7164258907517759
10,10,entropy,2,1,,True,0.7662076295140537,0.7393891703345838,0.7160525882934776,0.7244691634979129
10,10,entropy,2,1,sqrt,True,0.7688759242927888,0.7452099614292602,0.7127576178051853,0.7232623269193453
10,15,gini,2,1,,True,0.7567103091151663,0.7260098058193863,0.716365367601402,0.7205075625271891
10,15,gini,2,1,sqrt,True,0.7613006806412953,0.7320427741614486,0.7161921248849352,0.7224521072108074
10,15,entropy,2,1,,True,0.759469054564367,0.7293622107438775,0.7180267025970368,0.7227909259459357
10,15,entropy,2,1,sqrt,True,0.763041856047758,0.7343529059647194,0.717039490101584,0.7237619046243203
10,20,gini,2,1,,True,0.7398186464057165,0.7066249688003647,0.7029688916906904,0.7046767070976763
10,20,gini,2,1,sqrt,True,0.7421477511702056,0.7091547921802575,0.7041892336146808,0.706458086588014
10,20,entropy,2,1,,True,0.7412884698007824,0.7082559791458887,0.7041389678541055,0.7060478000271884
10,20,entropy,2,1,sqrt,True,0.7445899192727766,0.7119191075789796,0.7062412096193442,0.70880848177955
20,10,gini,2,1,,True,0.7667503335368473,0.7390090603809332,0.7205502536644813,0.7276618204357626
20,10,gini,2,1,sqrt,True,0.7674965515681885,0.7444414090975575,0.7090923114519964,0.7200677078986655
20,10,entropy,2,1,,True,0.7679714175881329,0.7409508372062735,0.7201758961244888,0.7279595547886476
20,10,entropy,2,1,sqrt,True,0.7672251995567917,0.744667904142329,0.7076667122065274,0.7189063666346556
20,15,gini,2,1,,True,0.7581349071749994,0.7277523581520613,0.7169244184126191,0.7215011386601715
20,15,gini,2,1,sqrt,True,0.7639237500847975,0.7354192134195212,0.718057250067357,0.7248063998672456
20,15,entropy,2,1,,True,0.759582117902449,0.7295013303501312,0.7180945118364422,0.7228844450392762
20,15,entropy,2,1,sqrt,True,0.7649639327951518,0.7366267728958387,0.7194992363443107,0.7261929234182583
20,20,gini,2,1,,True,0.7399090970761821,0.7066697558266104,0.7025614494003817,0.7044647584658408
20,20,gini,2,1,sqrt,True,0.7428035185310811,0.7098703984011874,0.7044433413432674,0.7069041478176383
20,20,entropy,2,1,,True,0.7425547791873007,0.7096034803524398,0.7044095834370339,0.7067739247473123
20,20,entropy,2,1,sqrt,True,0.7431879338805599,0.7102651093588979,0.704205413521268,0.7069235417932009
30,10,gini,2,1,,True,0.7672025868891753,0.7396173270452904,0.7208214906221027,0.7280373986446743
30,10,gini,2,1,sqrt,True,0.7684688962756936,0.7457865688570272,0.7100590807200523,0.7211446146981632
30,10,entropy,2,1,,True,0.768265382267146,0.7415537980605051,0.7196664551783378,0.7277545279509121
30,10,entropy,2,1,sqrt,True,0.7678131289148181,0.7459538750979877,0.7074116551554934,0.7189269712366995
30,15,gini,2,1,,True,0.7591750898853538,0.7289991557119152,0.7178741620140892,0.7225625223941063
30,15,gini,2,1,sqrt,True,0.7644438414399747,0.7360078447671219,0.7188546256899606,0.7255489431576337
30,15,entropy,2,1,,True,0.7617755466612396,0.73220433759808,0.7196035133740271,0.724820736927811
30,15,entropy,2,1,sqrt,True,0.7654387988150962,0.73735691122051,0.7193121611367632,0.7262836874307107
30,20,gini,2,1,,True,0.7418537864911924,0.7088198610107409,0.7039009019488409,0.7061498058558784
30,20,gini,2,1,sqrt,True,0.7440924405852158,0.7113298675226541,0.7054777645070555,0.7081145961284219
30,20,entropy,2,1,,True,0.7440698279175995,0.7112852174278224,0.7051722518309564,0.7079140579270746
30,20,entropy,2,1,sqrt,True,0.7452456866336522,0.7126058107138771,0.7056975447359402,0.7087573810516299
